Ref,Val,Package,PosX,PosY,Rot,Side
"C24","10p","C_0402_1005Metric",232.500000,-104.275000,180.000000,top
"C25","10p","C_0402_1005Metric",228.480000,-104.275000,0.000000,top
"C26","1u","C_0603_1608Metric",242.500000,-104.900000,90.000000,top
"C27","100n","C_0402_1005Metric",238.100000,-29.480000,0.000000,top
"C28","100n","C_0402_1005Metric",221.800000,-135.000000,180.000000,top
"C29","1u","C_0603_1608Metric",222.300000,-132.250000,180.000000,top
"C30","10u","C_0805_2012Metric",222.550000,-130.500000,180.000000,top
"C31","100n","C_0402_1005Metric",234.340000,-101.960000,0.000000,top
"C32","100n","C_0402_1005Metric",247.710000,-80.275000,-90.000000,top
"C33","100n","C_0402_1005Metric",226.250000,-77.040000,180.000000,top
"C34","100n","C_0402_1005Metric",238.770000,-77.040000,180.000000,top
"C35","100n","C_0402_1005Metric",247.710000,-86.000000,90.000000,top
"C36","100n","C_0402_1005Metric",247.710000,-97.545000,90.000000,top
"C37","100n","C_0402_1005Metric",233.250000,-77.100000,180.000000,top
"C38","100n","C_0402_1005Metric",242.000000,-102.900000,0.000000,top
"C39","100n","C_0402_1005Metric",241.000000,-101.960000,180.000000,top
"C40","100n","C_0402_1005Metric",222.790000,-86.505000,-90.000000,top
"C41","100n","C_0402_1005Metric",222.790000,-91.590000,-90.000000,top
"C42","100n","C_0402_1005Metric",223.000000,-98.795000,90.000000,top
"C43","100n","C_0402_1005Metric",247.710000,-91.045000,90.000000,top
"C44","100n","C_0402_1005Metric",253.550000,-53.800000,-90.000000,top
"C45","1u","C_0603_1608Metric",252.100000,-53.700000,90.000000,top
"C46","4.7n","C_0402_1005Metric",253.200000,-134.800000,0.000000,top
"C47","1u","C_0402_1005Metric",233.250000,-76.100000,180.000000,top
"C48","10u","C_1210_3225Metric",255.250000,-126.900000,90.000000,top
"C50","100n","C_0402_1005Metric",216.500000,-85.420000,90.000000,top
"C51","2.2u","C_0603_1608Metric",226.230000,-75.750000,180.000000,top
"C52","2.2u","C_0603_1608Metric",249.000000,-80.275000,90.000000,top
"C53","100n","C_0402_1005Metric",232.300000,-108.950000,90.000000,top
"C54","22u","C_1206_3216Metric",217.800000,-115.750000,180.000000,top
"C55","10n","C_0805_2012Metric",224.800000,-123.050000,180.000000,top
"C56","22u","C_1206_3216Metric",217.800000,-113.250000,180.000000,top
"C57","2.2u","C_0402_1005Metric",221.000000,-123.450000,-90.000000,top
"C58","100n","C_0402_1005Metric",219.550000,-123.000000,0.000000,top
"C59","22u","C_1206_3216Metric",223.050000,-125.750000,0.000000,top
"C60","22u","C_1206_3216Metric",223.050000,-128.250000,0.000000,top
"C61","1u","C_0603_1608Metric",222.300000,-133.750000,0.000000,top
"C62","100n","C_0402_1005Metric",219.250000,-83.900000,0.000000,top
"C63","1u","C_0603_1608Metric",218.975000,-82.600000,0.000000,top
"C64","100p","C_0402_1005Metric",251.210000,-134.800000,180.000000,top
"C65","10p","C_0402_1005Metric",249.759998,-136.250000,90.000000,top
"C66","100n","C_0402_1005Metric",259.260000,-140.000000,-90.000000,top
"C67","10u","C_0805_2012Metric",250.700001,-74.850000,90.000000,top
"C68","100n","C_0402_1005Metric",216.210500,-60.970000,90.000000,top
"C74","100n","C_0402_1005Metric",248.680001,-72.300000,0.000000,top
"C75","1u","C_0603_1608Metric",248.950001,-71.050000,0.000000,top
"C76","1u","C_0603_1608Metric",245.750000,-132.655000,0.000000,top
"C77","22u","C_1206_3216Metric",243.025000,-136.810000,0.000000,top
"C78","100n","C_0402_1005Metric",250.500000,-68.350000,-90.000000,top
"C79","100n","C_0402_1005Metric",250.500000,-65.150000,90.000000,top
"C80","10n","C_0603_1608Metric",251.850000,-65.300000,90.000000,top
"C81","100n","C_0402_1005Metric",215.618000,-67.740000,-90.000000,top
"C82","100n","C_0402_1005Metric",218.868000,-66.240000,0.000000,top
"C83","100n","C_0402_1005Metric",218.388000,-73.240000,180.000000,top
"C92","100n","C_0402_1005Metric",254.510000,-26.130000,-90.000000,top
"C93","100n","C_0402_1005Metric",254.510000,-24.130000,90.000000,top
"C94","1u","C_0603_1608Metric",260.000000,-26.450000,-90.000000,top
"C95","10u","C_0805_2012Metric",258.010000,-26.670000,-90.000000,top
"C96","22u","C_1206_3216Metric",243.025000,-139.310000,0.000000,top
"C97","22u","C_1206_3216Metric",243.025000,-141.810000,0.000000,top
"C98","22u","C_1206_3216Metric",243.025000,-144.310000,0.000000,top
"C100","100n","C_0402_1005Metric",227.500000,-26.750000,-90.000000,top
"C103","1u","C_0603_1608Metric",224.900000,-22.100000,0.000000,top
"C104","100n","C_0402_1005Metric",227.500000,-24.750000,90.000000,top
"C105","100n","C_0402_1005Metric",212.480000,-40.100000,180.000000,top
"D1","RClamp0501B","D_SOD-882",211.000000,-36.200000,-90.000000,top
"D2","SMAJ9.0A","D_SMA",244.200000,-147.350000,0.000000,top
